Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fineNumber of lines treated with Voigt profiles: 27
Number of wavelength points: 904
wave (nm)    log10(flux) (cgs) 
589.3547   14.7946
589.3598   14.7947
589.365   14.7948
589.3702   14.795
589.3753   14.7953
589.3805   14.7955
589.3856   14.7943
589.391   14.7936
589.3928   14.794
589.3945   14.7949
589.3991   14.796
589.4201   14.7928
589.4309   14.7907
589.4345   14.7846
589.4379   14.7761
589.4393   14.7704
589.4421   14.7523
589.4449   14.7072
589.4477   14.6387
589.4505   14.6075
589.4533   14.6422
589.4561   14.7145
589.4589   14.7631
589.4617   14.7826
589.4629   14.7869
589.4665   14.7919
589.4717   14.7935
589.4737   14.7945
589.4809   14.7958
589.4872   14.7958
589.4917   14.7955
589.4943   14.7957
589.4969   14.796
589.4995   14.7964
589.5022   14.7965
589.5048   14.7965
589.5074   14.7966
589.51   14.7966
589.5127   14.7966
589.5172   14.7966
589.5307   14.7966
589.5336   14.7965
589.5564   14.7963
589.5603   14.7962
589.5679   14.7961
589.5965   14.7955
589.6018   14.7953
589.6053   14.7951
589.6086   14.7949
589.6228   14.7939
589.6594   14.7895
589.6681   14.7876
589.6748   14.7856
589.6772   14.7844
589.6868   14.7774
589.6972   14.77
589.7132   14.752
589.7148   14.7482
589.7212   14.7274
589.7334   14.6628
589.7401   14.5813
589.7441   14.479
589.748   14.3194
589.7508   14.219
589.7558   14.1586
589.7597   14.225
589.7636   14.3661
589.7676   14.5175
589.7715   14.6145
589.7782   14.6862
589.7984   14.7581
589.8368   14.7871
589.8478   14.7894
589.8695   14.7927
589.8751   14.7933
589.8952   14.795
589.898   14.7952
589.9098   14.7959
589.9369   14.7966
589.9617   14.7971
589.9663   14.7972
589.9754   14.7973
589.9871   14.7975
589.9995   14.7976
590.002   14.7977
590.0311   14.7964
590.0417   14.798
590.0487   14.7981
590.0604   14.7965
590.0637   14.796
590.0701   14.7959
590.0754   14.7931
590.0809   14.785
590.0839   14.7768
590.0869   14.7545
590.0897   14.7153
590.0928   14.6877
590.0958   14.7137
590.0988   14.7587
590.1018   14.7832
590.1048   14.7922
590.1099   14.7962
590.1222   14.7983
590.1253   14.7983
590.1317   14.7979
590.1546   14.7984
590.1649   14.7985
590.1904   14.7985
590.2061   14.7985
590.2102   14.7985
590.2167   14.7985
590.2334   14.7986
590.2434   14.7986
590.2712   14.7986
590.2783   14.7986
590.2803   14.7986
590.2859   14.7986
590.2908   14.7986
590.2936   14.7986
590.2964   14.7985
590.2993   14.7983
590.3021   14.7982
590.305   14.7983
590.3078   14.7985
590.3106   14.7986
590.3128   14.7986
590.3161   14.7987
590.3184   14.7987
590.3233   14.7987
590.3264   14.7987
590.333   14.7987
590.3609   14.7987
590.3776   14.7987
590.383   14.7987
590.3871   14.7987
590.3913   14.7987
590.4138   14.7987
590.4296   14.7986
590.4333   14.7983
590.4345   14.7983
590.4374   14.7984
590.4402   14.7985
590.443   14.7983
590.4459   14.7981
590.4487   14.798
590.4516   14.7981
590.4544   14.7982
590.4573   14.7984
590.4621   14.7984
590.4768   14.7981
590.478   14.7978
590.4831   14.7967
590.4861   14.7954
590.4891   14.7922
590.4921   14.7857
590.4951   14.7812
590.4965   14.7827
590.4981   14.7858
590.5011   14.7929
590.5041   14.7964
590.507   14.7978
590.51   14.7983
590.5122   14.7983
590.5146   14.7984
590.5175   14.7985
590.5276   14.7986
590.5569   14.7987
590.5847   14.7986
590.6126   14.7986
590.619   14.7986
590.6466   14.7986
590.6584   14.7986
590.672   14.7968
590.6883   14.7985
590.6907   14.7982
590.6998   14.7956
590.7062   14.7951
590.7145   14.7888
590.7185   14.7798
590.7222   14.7624
590.7251   14.7259
590.7279   14.6701
590.73   14.6466
590.7336   14.6738
590.7364   14.7325
590.7393   14.7718
590.7421   14.7872
590.7464   14.7941
590.7563   14.798
590.7606   14.7984
590.77   14.7978
590.7757   14.7976
590.7892   14.798
590.7911   14.7974
590.7963   14.796
590.7993   14.7943
590.8022   14.7902
590.8052   14.7817
590.8082   14.7757
590.8112   14.7818
590.8142   14.791
590.8172   14.7954
590.8202   14.7972
590.8253   14.7981
590.8407   14.7986
590.8422   14.7986
590.8501   14.7984
590.87   14.7986
590.8813   14.7982
590.8848   14.7983
590.8875   14.7985
590.8896   14.7986
590.8925   14.7985
590.8953   14.7985
590.8982   14.7984
590.9006   14.7983
590.9022   14.7984
590.9039   14.7984
590.9067   14.7985
590.9096   14.7986
590.9124   14.7986
590.9173   14.7986
590.9201   14.7986
590.9258   14.7986
590.9319   14.7986
590.9434   14.7986
590.9482   14.7986
590.9598   14.7986
590.9615   14.7986
591.0128   14.7986
591.0182   14.7986
591.0318   14.7985
591.0491   14.7985
591.0707   14.7985
591.1022   14.7971
591.1137   14.7985
591.1301   14.7965
591.1351   14.7956
591.1447   14.7913
591.1496   14.7834
591.1525   14.7738
591.1553   14.7492
591.1581   14.7053
591.161   14.6806
591.1638   14.7065
591.1667   14.7538
591.1695   14.7806
591.1712   14.7879
591.1773   14.7961
591.1919   14.7984
591.2146   14.7985
591.2198   14.7985
591.2292   14.7985
591.2334   14.7985
591.2729   14.7984
591.3034   14.7984
591.3055   14.7984
591.3164   14.7984
591.3207   14.7984
591.3272   14.7984
591.3738   14.7984
591.3835   14.7984
591.4282   14.7984
591.4368   14.7983
591.4813   14.7983
591.4872   14.7983
591.4998   14.7983
591.5092   14.7978
591.5239   14.7983
591.5287   14.7983
591.5316   14.7982
591.5344   14.7982
591.5373   14.798
591.5401   14.7979
591.543   14.798
591.5458   14.7982
591.5487   14.7983
591.5515   14.7983
591.5564   14.7983
591.5657   14.7983
591.5711   14.7983
591.5756   14.7983
591.599   14.7983
591.6089   14.7983
591.6169   14.7983
591.6291   14.7983
591.6521   14.7982
591.6611   14.7979
591.6703   14.7982
591.6766   14.7982
591.6886   14.7976
591.703   14.7953
591.7078   14.7931
591.7106   14.7897
591.7134   14.7818
591.7162   14.7664
591.719   14.7558
591.7218   14.7659
591.7246   14.7814
591.7274   14.7898
591.7298   14.7931
591.735   14.7972
591.7494   14.7976
591.753   14.7962
591.7577   14.7949
591.7638   14.7941
591.7682   14.7939
591.7707   14.7904
591.7724   14.7877
591.7769   14.7763
591.7801   14.7596
591.7829   14.7201
591.7858   14.6566
591.7886   14.6262
591.7915   14.6596
591.7943   14.7269
591.7972   14.7696
591.8   14.7862
591.8049   14.7944
591.8196   14.798
591.8291   14.7973
591.8475   14.7981
591.8734   14.798
591.9006   14.7981
591.9079   14.7981
591.9284   14.7981
591.9306   14.7981
591.9405   14.7981
591.9451   14.7981
592.0016   14.7981
592.0193   14.7981
592.0324   14.7981
592.0675   14.7981
592.1173   14.798
592.143   14.798
592.1835   14.798
592.1935   14.798
592.3103   14.7979
592.3463   14.7979
592.3642   14.7979
592.4765   14.7979
592.4969   14.7978
592.5591   14.7978
592.6248   14.7978
592.9866   14.7976
593.0049   14.7976
593.0146   14.7976
593.0821   14.7975
593.1597   14.7975
593.2265   14.7975
593.254   14.7975
593.4188   14.7974
593.5127   14.7973
593.588   14.7973
593.6838   14.7972
593.7335   14.7972
593.945   14.7971
594.1612   14.797
594.3259   14.7969
594.4133   14.7968
594.4591   14.7968
594.5756   14.7968
595.6256   14.7962
601.1368   14.7932
606.6991   14.7901
612.3128   14.7868
617.9785   14.7835
623.6966   14.7801
629.4676   14.7766
635.2919   14.773
641.1702   14.7692
647.1029   14.7654
653.0905   14.7614
659.1334   14.7571
665.2323   14.7529
671.3876   14.7487
677.5999   14.7443
683.8697   14.7398
690.1974   14.7353
696.5838   14.7306
703.0292   14.7259
709.5342   14.721
716.0995   14.716
722.7254   14.711
729.4127   14.7059
736.1619   14.7006
742.9735   14.6953
749.8482   14.6899
756.7865   14.6844
763.7889   14.6788
770.8562   14.6731
777.9888   14.6673
785.1874   14.6614
792.4527   14.6555
799.7852   14.6494
807.1855   14.6433
814.6543   14.6371
822.1922   14.6308
829.7998   14.6244
837.4779   14.618
845.227   14.6115
853.0478   14.6049
860.9409   14.5982
868.9071   14.5914
876.947   14.5846
885.0613   14.5777
893.2507   14.5707
901.5158   14.5636
909.8574   14.5565
918.2762   14.5493
926.7729   14.5421
935.3483   14.5347
944.0029   14.5273
952.7377   14.5199
961.5533   14.5124
970.4504   14.5048
979.4299   14.4971
988.4924   14.4894
997.6388   14.4817
1006.8699   14.4739
1016.1863   14.466
1025.589   14.4581
1035.0786   14.4501
1044.6561   14.4421
1054.3222   14.4341
1064.0777   14.4259
1073.9235   14.4178
1083.8604   14.4096
1093.8892   14.4013
1104.0109   14.3931
1114.2262   14.3848
1124.536   14.3764
1134.9412   14.368
1145.4426   14.3596
1156.0413   14.3512
1166.738   14.3427
1177.5337   14.3342
1188.4293   14.3257
1199.4257   14.3171
1210.5238   14.3086
1221.7247   14.3
1233.0292   14.2914
1244.4382   14.2828
1255.9529   14.2742
1267.5741   14.2655
1279.3028   14.2569
1291.14   14.2483
1303.0868   14.2396
1315.1441   14.231
1327.313   14.2223
1339.5945   14.2136
1351.9896   14.2049
1364.4994   14.1963
1377.125   14.1876
1389.8673   14.1788
1402.7276   14.1701
1415.7069   14.1613
1428.8063   14.1525
1442.0269   14.1436
1455.3698   14.1347
1468.8361   14.1257
1482.4271   14.1166
1496.1438   14.1074
