Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fine
Number of lines treated with Voigt profiles: 26
Number of wavelength points: 527
wave (nm)     normalized flux 
590.8142   0.9773
590.8172   0.9893
590.8202   0.9933
590.8253   0.9977
590.8407   0.9983
590.8422   0.9983
590.8501   0.9976
590.87   0.9996
590.8813   0.9996
590.8848   0.9996
590.8875   0.9996
590.8896   0.9995
590.8925   0.9994
590.8953   0.9994
590.8982   0.9993
590.9006   0.9991
590.9022   0.9991
590.9039   0.9992
590.9067   0.9995
590.9096   0.9996
590.9124   0.9996
590.9173   0.9997
590.9201   0.9997
590.9258   0.9996
590.9319   0.999
590.9434   0.9997
590.9482   0.9997
590.9598   0.9997
590.9615   0.9997
591.0128   0.9997
591.0182   0.9997
591.0318   0.9997
591.0491   0.9997
591.0707   0.9997
591.1022   0.9997
591.1137   0.9984
591.1301   0.9993
591.1351   0.9966
591.1447   0.9843
591.1496   0.9764
591.1525   0.9569
591.1553   0.9041
591.1581   0.8156
591.161   0.7603
591.1638   0.7967
591.1667   0.8854
591.1695   0.9471
591.1712   0.9627
591.1773   0.9887
591.1919   0.9938
591.2146   0.9997
591.2198   0.9997
591.2292   0.9996
591.2334   0.9998
591.2729   0.9996
591.3034   0.9997
591.3055   0.9998
591.3164   0.9998
591.3207   0.9998
591.3272   0.9998
591.3738   0.9998
591.3835   0.9998
591.4282   0.9998
591.4813   0.9998
591.4872   0.9998
591.4998   0.9998
591.5092   0.9998
591.5239   0.9998
591.5287   0.9998
591.5316   0.9997
591.5344   0.9996
591.5373   0.9992
591.5401   0.9989
591.543   0.9991
591.5458   0.9995
591.5487   0.9997
591.5515   0.9997
591.5564   0.9998
591.5657   0.9998
591.5711   0.9998
591.5756   0.9998
591.599   0.9999
591.6089   0.9999
591.6169   0.9999
591.6291   0.9999
591.6521   0.9997
591.6611   0.9997
591.6703   0.9996
591.6766   0.998
591.6886   0.9997
591.703   0.9943
591.7078   0.9912
591.7106   0.9851
591.7134   0.9659
591.7162   0.9295
591.719   0.9028
591.7218   0.9197
591.7246   0.9597
591.7274   0.9815
591.7298   0.9868
591.735   0.9959
591.7494   0.9931
591.753   0.9964
591.7577   0.9972
591.7638   0.9932
591.7682   0.9854
591.7707   0.9814
591.7724   0.9776
591.7769   0.9669
591.7801   0.9332
591.7829   0.8556
591.7858   0.7406
591.7886   0.6768
591.7915   0.7195
591.7943   0.8283
591.7972   0.918
591.8   0.9564
591.8049   0.9824
591.8196   0.9914
591.8291   0.9942
591.8475   0.9994
591.8734   0.9992
591.9006   0.9999
591.9079   0.9987
591.9284   0.9999
591.9306   0.9999
591.9405   0.9999
591.9451   0.9999
592.0016   0.9999
 lambda_0 species
588.11   Fe I 588.11
588.13   S I 588.13
588.19   Ti I 588.19
588.5   Co I 588.5
588.51   S I 588.51
588.54   Fe I 588.54
589.12   C I 589.12
589.13   S I 589.13
589.16   Na I 589.16
589.16   Sc II 589.16
589.21   Co I 589.21
589.37   C I 589.37
589.45   Ni I 589.45
589.5   Ge II 589.5
589.76   Na I 589.76
590.09   Ti I 590.09
590.3   Fe II 590.3
590.45   Fe II 590.45
590.5   Ti I 590.5
590.73   Fe I 590.73
590.81   Ti I 590.81
590.9   Fe II 590.9
591.16   Fe I 591.16
591.54   Fe II 591.54
591.72   Co I 591.72
591.79   Fe I 591.79
