Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fine
Number of lines treated with Voigt profiles: 27
Number of wavelength points: 546
wave (nm)     normalized flux 
589.5336   0.9932
589.5564   0.9929
589.5603   0.9927
589.5679   0.9925
589.5965   0.991
589.6018   0.9906
589.6053   0.9902
589.6086   0.9898
589.6228   0.9875
589.6594   0.9776
589.6681   0.9733
589.6748   0.9687
589.6772   0.9662
589.6868   0.9507
589.6972   0.9346
589.7132   0.8967
589.7148   0.8889
589.7212   0.8474
589.7334   0.7303
589.7401   0.6054
589.7441   0.4783
589.748   0.3312
589.7508   0.2629
589.7558   0.2287
589.7597   0.2665
589.7636   0.3688
589.7676   0.5226
589.7715   0.6534
589.7782   0.7708
589.7984   0.9095
589.8368   0.9724
589.8478   0.9776
589.8695   0.985
589.8751   0.9864
589.8952   0.9903
589.898   0.9907
589.9098   0.9922
589.9369   0.9939
589.9617   0.9951
589.9663   0.9953
589.9754   0.9955
589.9871   0.996
589.9995   0.9964
590.002   0.9965
590.0311   0.9936
590.0417   0.9974
590.0487   0.9975
590.0604   0.9939
590.0637   0.9927
590.0701   0.9925
590.0754   0.9861
590.0809   0.9679
590.0839   0.95
590.0869   0.9024
590.0897   0.8245
590.0928   0.7736
590.0958   0.8214
590.0988   0.9111
590.1018   0.9639
590.1048   0.9842
590.1099   0.9934
590.1222   0.9981
590.1253   0.9982
590.1317   0.9972
590.1546   0.9985
590.1649   0.9985
590.1904   0.9987
590.2061   0.9988
590.2102   0.9988
590.2167   0.9986
590.2334   0.9989
590.2434   0.9989
590.2712   0.999
590.2783   0.9991
590.2803   0.9991
590.2859   0.999
590.2908   0.999
590.2936   0.9989
590.2964   0.9988
590.2993   0.9984
590.3021   0.9981
590.305   0.9984
590.3078   0.9988
590.3106   0.999
590.3128   0.9991
590.3161   0.9992
590.3184   0.9992
590.3233   0.9992
590.3264   0.9992
590.333   0.9992
590.3609   0.9993
590.3776   0.9993
590.383   0.9993
590.3871   0.9993
590.3913   0.9993
590.4138   0.9993
590.4296   0.9991
590.4333   0.9986
590.4345   0.9985
590.4374   0.9988
590.4402   0.9989
590.443   0.9986
590.4459   0.9981
590.4487   0.9978
590.4516   0.998
590.4544   0.9982
590.4573   0.9987
590.4621   0.9987
590.4768   0.998
590.478   0.9973
590.4831   0.9948
590.4861   0.992
590.4891   0.9847
590.4921   0.97
590.4951   0.9599
590.4965   0.9634
590.4981   0.9703
590.5011   0.9862
590.5041   0.9943
590.507   0.9974
590.51   0.9985
590.5122   0.9987
590.5146   0.9988
590.5175   0.9991
590.5276   0.9993
590.5569   0.9995
590.5847   0.9994
590.6126   0.9995
590.619   0.9995
590.6466   0.9996
590.6584   0.9995
590.672   0.9953
590.6883   0.9993
590.6907   0.9985
590.6998   0.9927
590.7062   0.9914
590.7145   0.9771
590.7185   0.9572
590.7222   0.9196
590.7251   0.8454
590.7279   0.7436
590.73   0.7043
590.7336   0.7499
590.7364   0.8585
590.7393   0.9397
590.7421   0.9737
590.7464   0.9893
590.7563   0.9981
590.7606   0.9992
590.77   0.9978
590.7757   0.9973
590.7892   0.9981
590.7911   0.9969
590.7963   0.9936
590.7993   0.9899
590.8022   0.9804
590.8052   0.9614
590.8082   0.9483
590.8112   0.9617
590.8142   0.9823
590.8172   0.9924
590.8202   0.9964
590.8253   0.9984
590.8407   0.9997
590.8422   0.9997
590.8501   0.9993
590.87   0.9997
590.8813   0.9988
590.8848   0.999
590.8875   0.9995
590.8896   0.9996
590.8925   0.9996
590.8953   0.9994
590.8982   0.9992
590.9006   0.9991
590.9022   0.9992
590.9039   0.9993
590.9067   0.9996
590.9096   0.9997
590.9124   0.9997
590.9173   0.9997
590.9201   0.9997
590.9258   0.9998
590.9319   0.9998
590.9434   0.9998
590.9482   0.9998
590.9598   0.9998
590.9615   0.9998
591.0128   0.9998
591.0182   0.9998
591.0318   0.9998
591.0491   0.9998
591.0707   0.9998
591.1022   0.9965
591.1137   0.9998
591.1301   0.9951
591.1351   0.9931
591.1447   0.9833
591.1496   0.9656
591.1525   0.9445
591.1553   0.8926
591.1581   0.8067
591.161   0.7622
591.1638   0.809
591.1667   0.9021
591.1695   0.9596
591.1712   0.9757
591.1773   0.9943
591.1919   0.9997
591.2146   0.9998
591.2198   0.9998
591.2292   0.9998
591.2334   0.9998
591.2729   0.9998
591.3034   0.9999
591.3055   0.9999
591.3164   0.9999
591.3207   0.9999
591.3272   0.9999
591.3738   0.9999
591.3835   0.9999
591.4282   0.9999
591.4368   0.9996
591.4813   0.9999
591.4872   0.9999
591.4998   0.9999
591.5092   0.9986
591.5239   0.9998
591.5287   0.9998
591.5316   0.9997
591.5344   0.9995
591.5373   0.9992
591.5401   0.999
591.543   0.9992
591.5458   0.9996
591.5487   0.9998
591.5515   0.9998
591.5564   0.9999
591.5657   0.9999
591.5711   0.9999
591.5756   0.9999
591.599   0.9999
591.6089   0.9999
591.6169   0.9999
591.6291   0.9999
591.6521   0.9998
591.6611   0.999
591.6703   0.9998
591.6766   0.9998
591.6886   0.9984
591.703   0.9932
591.7078   0.9881
591.7106   0.9804
591.7134   0.9629
591.7162   0.9292
591.719   0.9068
591.7218   0.9282
591.7246   0.962
591.7274   0.9807
591.7298   0.9881
591.735   0.9975
591.7494   0.9984
591.753   0.9952
591.7577   0.9923
591.7638   0.9906
591.7682   0.9899
591.7707   0.9821
591.7724   0.976
591.7769   0.9508
591.7801   0.9149
591.7829   0.8354
591.7858   0.7216
591.7886   0.6729
591.7915   0.7266
591.7943   0.8485
591.7972   0.9362
591.8   0.9727
591.8049   0.9912
591.8196   0.9996
591.8291   0.998
591.8475   0.9999
591.8734   0.9996
591.9006   0.9999
591.9079   0.9999
591.9284   0.9999
591.9306   0.9999
591.9405   0.9999
591.9451   0.9999
592.0016   0.9999
 lambda_0 species
588.11   Fe I 588.11
588.13   S I 588.13
588.19   Ti I 588.19
588.5   Co I 588.5
588.51   S I 588.51
588.54   Fe I 588.54
588.66   Fe II 588.66
589.12   C I 589.12
589.13   S I 589.13
589.16   Na I 589.16
589.16   Sc II 589.16
589.21   Co I 589.21
589.37   C I 589.37
589.45   Ni I 589.45
589.5   Ge II 589.5
589.76   Na I 589.76
590.09   Ti I 590.09
590.3   Fe II 590.3
590.45   Fe II 590.45
590.5   Ti I 590.5
590.73   Fe I 590.73
590.81   Ti I 590.81
590.9   Fe II 590.9
591.16   Fe I 591.16
591.54   Fe II 591.54
591.72   Co I 591.72
591.79   Fe I 591.79
